year,price,mileage
2018,9.95,82
2019,10.725,71.602
2019,10.495,91.2
2018,13,26.79
2016,13.995,9.429
2015,9.5,23.674
2018,13.499,36.04
2017,14.999,57.384
2017,11.5,50.042
2015,8.99,80.76
2014,7.165,157.387
2017,8.99,70.577
2015,6.488,106.712
2019,9.995,88
