"","year","price","Location"
"201",2018,17.998,"Albany"
"202",2014,11.999,"Albany"
"203",2019,18.9,"Albany"
"204",2020,13.895,"Albany"
"205",2016,16.499,"Albany"
"206",2020,26.995,"Albany"
"207",2020,20.995,"Albany"
"208",2015,12.999,"Albany"
"209",2016,13.99,"Albany"
"210",2019,16,"Albany"
"211",2016,13.989,"Albany"
"212",2015,11.651,"Albany"
"213",2014,9.945,"Albany"
"214",2019,17,"Albany"
"215",2020,15.49,"Albany"
"216",2019,12.995,"Albany"
"217",2020,19.8,"Albany"
"218",2019,13.995,"Albany"
"219",2020,22.99,"Albany"
"220",2017,12.9,"Albany"
"221",2014,9.877,"Albany"
"222",2014,8.999,"Albany"
"223",2016,11.995,"Albany"
"224",2017,7.988,"Albany"
"225",2013,7.5,"Albany"
"226",2018,9.495,"Albany"
"227",2016,8.995,"Albany"
"228",2018,17.999,"Albany"
"229",2014,7.995,"Albany"
"230",2016,12.7,"Albany"
"231",2014,6.995,"Albany"
"232",2014,7.495,"Albany"
"233",2016,24.995,"Albany"
"234",2013,11,"Albany"
"235",2015,5.99,"Albany"
"236",2014,11.888,"Albany"
"237",2017,12,"Albany"
"238",2014,8.99,"Albany"
"239",2009,6.995,"Albany"
"240",2018,7.995,"Albany"
"241",2018,12.588,"Albany"
"242",2017,9.995,"Albany"
"243",2014,10.9,"Albany"
"244",2014,9.219,"Albany"
"245",2010,10.995,"Albany"
"246",2015,7.449,"Albany"
"247",2017,23.995,"Albany"
"248",2013,6.211,"Albany"
"249",2017,11,"Albany"
"250",2007,4.95,"Albany"
"251",2017,17.995,"Albany"
"252",2015,15.895,"Albany"
"253",2018,10.99,"Albany"
"254",2011,5.95,"Albany"
"255",2017,7.995,"Albany"
"256",2014,6.995,"Albany"
"257",2018,9.95,"Albany"
"258",2019,10.725,"Albany"
"259",2019,10.495,"Albany"
"260",2018,13,"Albany"
"261",2016,13.995,"Albany"
"262",2015,9.5,"Albany"
"263",2018,13.499,"Albany"
"264",2017,14.999,"Albany"
"265",2017,11.5,"Albany"
"266",2015,8.99,"Albany"
"267",2014,7.165,"Albany"
"268",2017,8.99,"Albany"
"269",2015,6.488,"Albany"
"270",2019,9.995,"Albany"
"271",2015,18.995,"Albany"
"272",2018,37,"Albany"
"273",2022,61.5,"Albany"
"274",2021,49.997,"Albany"
"275",2008,19.9,"Albany"
"276",2019,59.99,"Albany"
"277",2017,39.5,"Albany"
"278",2014,36.989,"Albany"
"279",2015,24.999,"Albany"
"280",2019,37.584,"Albany"
"281",2017,50,"Albany"
"282",2022,73.99,"Albany"
"283",2019,57.4,"Albany"
"284",2022,44.995,"Albany"
"285",2024,103.085,"Albany"
"286",2018,56.9,"Albany"
"287",2020,40.988,"Albany"
"288",2020,39.995,"Albany"
"289",2005,27.999,"Albany"
"290",2022,78.705,"Albany"
"291",2009,10.9,"Albany"
"292",2022,52.997,"Albany"
"293",2019,65,"Albany"
"294",2015,22,"Albany"
"295",2021,53.661,"Albany"
"296",2012,23.999,"Albany"
"297",2022,65.999,"Albany"
"298",2020,47.305,"Albany"
"299",2017,59.995,"Albany"
"300",2021,54.997,"Albany"
"301",2017,30.9,"Albany"
"302",2012,21.99,"Albany"
"303",2016,45.763,"Albany"
"304",2012,31.985,"Albany"
"305",2016,23.995,"Albany"
"306",2018,55,"Albany"
"307",1999,58.999,"Albany"
"308",2018,34.988,"Albany"
"309",2006,8.75,"Albany"
"310",2021,48,"Albany"
"311",2020,64,"Albany"
"312",2018,43.409,"Albany"
"313",2011,31.999,"Albany"
"314",2019,37.985,"Albany"
"315",2010,24.999,"Albany"
"316",2018,44.99,"Albany"
"317",2017,53.982,"Albany"
"318",2022,82.889,"Albany"
"319",2000,13,"Albany"
"320",2020,44.5,"Albany"
"321",2021,49.9,"Albany"
"322",2008,18,"Albany"
"323",2020,47.447,"Albany"
"324",2021,66.544,"Albany"
"325",2016,29.5,"Albany"
"326",2023,83.495,"Albany"
"327",2015,46.999,"Albany"
"328",2003,37.999,"Albany"
"329",2008,16.999,"Albany"
"330",2020,63.9,"Albany"
"331",2020,63.985,"Albany"
"332",2019,41.9,"Albany"
"333",2021,55.799,"Albany"
"334",2021,41.999,"Albany"
"335",2019,58.5,"Albany"
"336",2022,60,"Albany"
"337",2022,64.999,"Albany"
"338",2006,10.995,"Albany"
"339",2018,52.399,"Albany"
"340",2022,84.995,"Albany"
"341",2001,20,"Albany"
"342",2020,45.5,"Albany"
"343",2013,26.95,"Albany"
"344",2015,31,"Albany"
"345",2011,12.788,"Albany"
"346",2022,60.776,"Albany"
"347",2016,28.991,"Albany"
"348",2021,71.8,"Albany"
"349",2022,74.995,"Albany"
"350",2018,58,"Albany"
"351",2015,33.955,"Albany"
"352",2021,56.5,"Albany"
"353",2019,44.994,"Albany"
"354",2016,31.4,"Albany"
"355",2019,52.795,"Albany"
"356",2007,12.995,"Albany"
"357",2019,55.967,"Albany"
"358",2010,13.995,"Albany"
"359",2022,51.976,"Albany"
"360",2016,40.995,"Albany"
"361",2022,53.995,"Albany"
"362",2005,12,"Albany"
"363",2021,46.55,"Albany"
"364",2022,63.995,"Albany"
"365",2006,27.995,"Albany"
"366",2020,42.5,"Albany"
"367",2021,43.099,"Albany"
"368",2016,28.995,"Albany"
"369",2022,64.205,"Albany"
"370",2022,58,"Albany"
"371",2022,52.995,"Albany"
"372",2022,54.5,"Albany"
"373",2022,56.988,"Albany"
"374",2022,79.989,"Albany"
"375",2014,37.599,"Albany"
"376",2017,50.795,"Albany"
"377",2022,56.7,"Albany"
"378",2004,19.999,"Albany"
"379",2016,17.5,"Albany"
"380",2016,44,"Albany"
"381",2019,46.9,"Albany"
"382",2022,61.9,"Albany"
"383",2022,53.117,"Albany"
"384",2022,53.658,"Albany"
"385",2019,54.991,"Albany"
"386",2022,43.995,"Albany"
"387",2020,50.995,"Albany"
"388",2022,59.3,"Albany"
"389",2019,62.9,"Albany"
"390",2012,22.5,"Albany"
"391",2020,62.999,"Albany"
"392",2020,54.995,"Albany"
"393",2013,21.999,"Albany"
"394",2022,64.04,"Albany"
"395",2020,49.495,"Albany"
"396",2023,66.854,"Albany"
"397",2008,20,"Albany"
"398",2021,59.99,"Albany"
